,address,store,number,geometry.type,longtitude,latitude
248,"135-29 Roosevelt Ave
Flushing, NY 11354",Mi Tea,37,Point,-73.83103969999999,40.7594792
249,"8612 5th Ave
Brooklyn, NY 11209",Coco Fresh Tea & Juice,37,Point,-74.0267188,40.6212881
250,"72-01 Austin St
Forest Hills, NY 11375",Pink Forest,36,Point,-73.8424218,40.7194096
251,"1418 Mermaid Ave
Brooklyn, NY 11224",ChowTime,36,Point,-73.9822397,40.5768076
252,"349 5th Ave
Brooklyn, NY 11215",Home,36,Point,-73.9838517,40.6717514
253,"196 Canal St
New York, NY 10013",Loving Tea,36,Point,-73.9983144,40.7166744
254,"61-24 Springfield Blvd
Oakland Gardens, NY 11364",HI Tea Hong Kong Style Cafe,36,Point,-73.7566477,40.7484534
255,"39-01 Main St
Flushing, NY 11354",Teas Me Dear,36,Point,-73.8300059,40.7601602
256,"7318 Broadway
Jackson Heights, NY 11372",Double Rainbow of Woodside Bakery,36,Point,-73.8917305,40.7466313
257,"124A Hester St
New York, NY 10002",Anda Cafe,36,Point,-73.9947334,40.7169004
258,"4207 Hylan Blvd
Staten Island, NY 10308",Hong Kong Kei One,35,Point,-74.1505351,40.5375733
259,"40-24 College Point Blvd
Ste B 205
Flushing, NY 11354",Coco Fresh Tea & Juice,35,Point,-73.83477300000001,40.7576904
260,"80 Dekalb Ave
Brooklyn, NY 11201",Chau Down Cafe,34,Point,-73.9800415,40.6896302
261,"52 Kenmare St
New York, NY 10012",C Tea,34,Point,-73.99569629999999,40.7207575
262,"1000 S 8th Ave
New York, NY 10019",Panda Bubble Tea,34,Point,-73.98298,40.7669606
263,"6815 Bay Pkwy
Brooklyn, NY 11204",80’s Tea,34,Point,-73.98369319999999,40.6114258
264,"705 59th St
Brooklyn, NY 11220",I CE NY,33,Point,-74.0108013,40.6373606
265,"54 N 6th St
Brooklyn, NY 11249",Blossom Ice Cream & The Poké,33,Point,-73.9620187,40.7194262
266,"61-09 Utopia Pkwy
Fresh Meadows, NY 11365",Tea Shop & Bakery,33,Point,-73.7925917,40.738517
267,"284 3rd Ave
New York, NY 10010",Yaya Tea Garden,33,Point,-73.983683,40.7383967
268,"1000 8th Ave
New York, NY 10019",Yong Kang Street,32,Point,-73.98298,40.7669606
269,"197 E 76th St
New York, NY 10021",Tenny & Betsy - Tea and Pop-Ups,32,Point,-73.9590504,40.772604
